Order ID,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Amount,Profit,Quantity
B-26776,Electronics,Electronic Games,UPI,6/27/2023,David Padilla,Florida,Miami,2023-06,9726,1275,5
B-26776,Electronics,Electronic Games,UPI,12/27/2024,Connor Morgan,Illinois,Chicago,2024-12,9726,1275,5
B-26776,Electronics,Electronic Games,UPI,7/25/2021,Robert Stone,New York,Buffalo,2021-07,9726,1275,5
B-26776,Electronics,Printers,UPI,6/27/2023,David Padilla,Florida,Miami,2023-06,4975,1330,14
B-26776,Electronics,Printers,UPI,12/27/2024,Connor Morgan,Illinois,Chicago,2024-12,4975,1330,14
B-26776,Electronics,Printers,UPI,7/25/2021,Robert Stone,New York,Buffalo,2021-07,4975,1330,14
B-26942,Office Supplies,Pens,Debit Card,5/11/2024,John Fields,Florida,Orlando,2024-05,1525,185,12
B-26942,Office Supplies,Pens,Debit Card,10/9/2021,Clayton Smith,Florida,Miami,2021-10,1525,185,12
B-26640,Electronics,Laptops,EMI,11/18/2022,Richard Kelley,California,Los Angeles,2022-11,883,117,10
B-26640,Furniture,Tables,Credit Card,11/18/2022,Richard Kelley,California,Los Angeles,2022-11,8127,3551,16
B-25890,Furniture,Chairs,UPI,11/12/2023,Jacqueline Hubbard,New York,New York City,2023-11,2516,734,19
B-25102,Office Supplies,Pens,Credit Card,3/23/2020,Jessica Anderson,New York,New York City,2020-03,2975,462,14
B-25426,Office Supplies,Markers,Debit Card,5/4/2020,Mary Taylor,Florida,Orlando,2020-05,6851,2812,1
B-25426,Furniture,Sofas,Credit Card,5/4/2020,Mary Taylor,Florida,Orlando,2020-05,7626,1046,15
B-25426,Furniture,Tables,UPI,5/4/2020,Mary Taylor,Florida,Orlando,2020-05,1023,78,9
B-25238,Office Supplies,Pens,UPI,11/9/2023,Walter Crawford,Illinois,Springfield,2023-11,7600,1098,10
B-25238,Office Supplies,Paper,COD,11/9/2023,Walter Crawford,Illinois,Springfield,2023-11,7501,262,18
B-25051,Office Supplies,Paper,Credit Card,12/30/2024,Lawrence Robinson,New York,Rochester,2024-12,725,133,6
B-25051,Furniture,Tables,Credit Card,12/30/2024,Lawrence Robinson,New York,Rochester,2024-12,7201,2685,2
B-26510,Office Supplies,Paper,UPI,2/11/2025,Douglas Pennington,Texas,Dallas,2025-02,1629,265,1
B-26510,Office Supplies,Paper,UPI,1/23/2024,Ricardo Andrews,California,San Diego,2024-01,1629,265,1
B-25104,Office Supplies,Binders,Debit Card,11/28/2020,Paul Raymond,California,San Diego,2020-11,8971,2971,19
B-25104,Office Supplies,Binders,COD,11/28/2020,Paul Raymond,California,San Diego,2020-11,2939,894,20
B-25553,Electronics,Phones,UPI,5/30/2024,Karen Johnson,New York,Rochester,2024-05,9380,414,11
B-25553,Office Supplies,Binders,Credit Card,5/30/2024,Karen Johnson,New York,Rochester,2024-05,8558,1644,18
B-25553,Office Supplies,Paper,COD,5/30/2024,Karen Johnson,New York,Rochester,2024-05,4080,72,17
B-26703,Electronics,Electronic Games,EMI,1/23/2022,Juan Erickson,Texas,Austin,2022-01,4206,1821,17
B-26232,Office Supplies,Binders,COD,12/17/2021,Alexander Reed,New York,New York City,2021-12,5219,1180,20
B-26232,Office Supplies,Binders,COD,2/3/2023,Jacqueline Harris,California,San Francisco,2023-02,5219,1180,20
